timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603289933472,4314,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-1000,text,true,,7615,205,134,303,http://localhost:8085/users/read,4313,0,863
1603289933501,5069,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-977,text,true,,8111,205,150,333,http://localhost:8085/users/read,5068,0,1059
1603289933507,5131,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-972,text,true,,8111,205,151,336,http://localhost:8085/users/read,5130,0,1059
1603289933505,5153,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-973,text,true,,8111,205,152,337,http://localhost:8085/users/read,5153,0,1060
1603289933508,5207,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-971,text,true,,8111,205,153,339,http://localhost:8085/users/read,5207,0,1059
1603289933517,5255,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-963,text,true,,8109,205,154,341,http://localhost:8085/users/read,5254,0,1055
1603289933478,5356,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-995,text,true,,8109,205,155,343,http://localhost:8085/users/read,5354,0,864
1603289933916,5016,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-945,text,true,,8357,205,157,347,http://localhost:8085/users/read,5014,0,754
1603289938933,18,Get_Tasks,200,,Spike - jp@gc - Ultimate Thread Group 3-945,text,true,,7126,205,158,348,http://localhost:8085/tasks/read,18,0,0
1603289933476,5579,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-997,text,true,,8489,205,160,352,http://localhost:8085/users/read,5578,0,860
1603289939057,6,Get_Tasks,200,,Spike - jp@gc - Ultimate Thread Group 3-997,text,true,,7261,205,160,352,http://localhost:8085/tasks/read,6,0,0
1603289933471,5606,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-999,text,true,,8489,205,160,352,http://localhost:8085/users/read,5605,0,863
1603289938572,529,Get_Tasks,200,,Spike - jp@gc - Ultimate Thread Group 3-977,text,true,,7126,205,161,353,http://localhost:8085/tasks/read,527,0,0
1603289939101,15,Post_Users,201,,Spike - jp@gc - Ultimate Thread Group 3-977,text,true,,389,354,161,354,http://localhost:8085/users/create,15,0,0
1603289933509,5618,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-970,text,true,,8109,205,161,354,http://localhost:8085/users/read,5617,0,1060
1603289933505,5665,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-975,text,true,,8111,205,162,355,http://localhost:8085/users/read,5664,0,1058
1603289933467,5779,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-969,text,true,,8868,205,163,358,http://localhost:8085/users/read,5778,0,863
1603289939247,9,Get_Tasks,200,,Spike - jp@gc - Ultimate Thread Group 3-969,text,true,,7397,205,164,359,http://localhost:8085/tasks/read,9,0,0
1603289933475,5909,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-998,text,true,,8864,205,166,363,http://localhost:8085/users/read,5909,0,861
1603289933477,5982,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 3-996,text,true,,8862,205,168,366,http://localhost:8085/users/read,5981,0,860
