timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603289929817,449,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-500,text,true,,1258,205,1,34,http://localhost:8085/users/read,449,0,326
1603289930341,1195,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-500,text,true,,798,205,2,51,http://localhost:8085/tasks/read,1195,0,0
1603289931536,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-500,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,2,51,http://localhost:8085/users/update/${user_id},0,0,0
1603289931537,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-500,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,2,51,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289931538,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-500,text,true,,339,0,2,51,null,0,0,0
1603289931538,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-500,text,true,,338,0,2,51,null,0,0,0
1603289930565,976,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-499,text,true,,2518,205,2,51,http://localhost:8085/users/read,976,0,13
1603289931538,1178,Post_Users,201,,Stress - jp@gc - Ultimate Thread Group 2-500,text,true,,389,354,3,69,http://localhost:8085/users/create,1178,0,0
1603289931610,1112,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-498,text,true,,5031,205,3,69,http://localhost:8085/users/read,1112,0,172
1603289931804,913,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-499,text,true,,2001,205,3,69,http://localhost:8085/tasks/read,913,0,0
1603289932787,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-499,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,4,81,http://localhost:8085/users/update/${user_id},0,0,0
1603289932788,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-499,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,4,81,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289932789,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-499,text,true,,339,0,4,81,null,0,0,0
1603289932789,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-499,text,true,,338,0,4,81,null,0,0,0
1603289932790,3005,Post_Users,201,,Stress - jp@gc - Ultimate Thread Group 2-499,text,true,,389,354,7,228,http://localhost:8085/users/create,3005,0,0
1603289932715,6290,Post_Tasks,201,,Stress - jp@gc - Ultimate Thread Group 2-500,text,true,,395,380,10,350,http://localhost:8085/tasks/create,6289,0,0
1603289939007,14,Delete_Users,204,,Stress - jp@gc - Ultimate Thread Group 2-500,,true,,191,232,10,350,http://localhost:8085/users/delete/43,0,0,0
1603289939021,25,Delete_Tasks,204,,Stress - jp@gc - Ultimate Thread Group 2-500,,true,,191,232,10,350,http://localhost:8085/tasks/delete/56,0,0,0
1603289932722,6604,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-498,text,true,,7397,205,10,361,http://localhost:8085/tasks/read,6595,0,0
1603289939328,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-498,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,10,361,http://localhost:8085/users/update/${user_id},0,0,0
1603289939328,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-498,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,10,361,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289939329,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-498,text,true,,339,0,10,361,null,0,0,0
1603289939329,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-498,text,true,,338,0,10,361,null,0,0,0
1603289935564,8902,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-494,text,true,,11636,205,15,555,http://localhost:8085/users/read,8902,0,3680
1603289936563,8173,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-493,text,true,,11638,205,16,565,http://localhost:8085/users/read,8172,0,2524
1603289938564,6455,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-491,text,true,,11636,205,16,576,http://localhost:8085/users/read,6455,0,975
1603289939046,6243,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-500,text,true,,11636,205,16,585,http://localhost:8085/users/read,6242,0,641
1603289939567,6434,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-490,text,true,,11761,205,17,613,http://localhost:8085/users/read,6433,0,1993
1603289946001,7,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-490,text,true,,9281,205,17,613,http://localhost:8085/tasks/read,6,0,0
1603289946008,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-490,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,17,613,http://localhost:8085/users/update/${user_id},0,0,0
1603289946008,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-490,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,17,613,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289946009,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-490,text,true,,339,0,17,613,null,0,0,0
1603289946009,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-490,text,true,,338,0,17,613,null,0,0,0
1603289940573,5817,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-489,text,true,,12142,205,17,627,http://localhost:8085/users/read,5817,0,1040
1603289941564,6792,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-488,text,true,,12778,205,19,702,http://localhost:8085/users/read,6792,0,707
1603289944468,4119,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-494,text,true,,10891,205,20,710,http://localhost:8085/tasks/read,4119,0,0
1603289948587,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-494,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,20,710,http://localhost:8085/users/update/${user_id},0,0,0
1603289948588,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-494,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,20,710,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289948588,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-494,text,true,,338,0,20,710,null,0,0,0
1603289948588,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-494,text,true,,338,0,20,710,null,0,0,0
1603289944737,4107,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-493,text,true,,11294,205,20,720,http://localhost:8085/tasks/read,4107,0,0
1603289948844,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-493,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,20,720,http://localhost:8085/users/update/${user_id},0,0,0
1603289948845,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-493,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,20,720,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289948845,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-493,text,true,,339,0,20,720,null,0,0,0
1603289948845,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-493,text,true,,338,0,20,720,null,0,0,0
1603289945020,4373,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-491,text,true,,12366,205,20,740,http://localhost:8085/tasks/read,4373,0,0
1603289949393,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-491,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,20,740,http://localhost:8085/users/update/${user_id},0,0,0
1603289949394,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-491,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,20,740,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289949394,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-491,text,true,,339,0,20,740,null,0,0,0
1603289949395,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-491,text,true,,338,0,20,740,null,0,0,0
1603289945289,4179,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-500,text,true,,12366,205,20,743,http://localhost:8085/tasks/read,4178,0,0
1603289949468,20,Update_Users,404,,Stress - jp@gc - Ultimate Thread Group 2-500,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",379,353,20,743,http://localhost:8085/users/update/43,20,0,0
1603289946009,3856,Post_Users,201,,Stress - jp@gc - Ultimate Thread Group 2-490,text,true,,390,354,21,759,http://localhost:8085/users/create,3856,0,0
