timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603294897754,716,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 1-994,text,true,,166241,205,22,22,http://localhost:8085/users/read,706,0,4
1603294898470,20,Get_Tasks,200,,Spike - jp@gc - Ultimate Thread Group 1-994,text,true,,114846,205,22,22,http://localhost:8085/tasks/read,17,0,0
1603294897755,739,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 1-997,text,true,,166241,205,22,22,http://localhost:8085/users/read,735,0,95
1603294897753,755,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 1-995,text,true,,166241,205,23,23,http://localhost:8085/users/read,750,0,3
1603294897756,794,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 1-998,text,true,,166241,205,23,23,http://localhost:8085/users/read,790,0,97
1603294898509,67,Get_Tasks,200,,Spike - jp@gc - Ultimate Thread Group 1-995,text,true,,114846,205,24,24,http://localhost:8085/tasks/read,65,0,0
1603294898490,94,Post_Users,201,,Spike - jp@gc - Ultimate Thread Group 1-994,text,true,,392,354,24,24,http://localhost:8085/users/create,94,0,0
1603294897754,902,Get_Users,200,,Spike - jp@gc - Ultimate Thread Group 1-996,text,true,,166241,205,26,26,http://localhost:8085/users/read,899,0,74
1603294898584,80,Post_Tasks,201,,Spike - jp@gc - Ultimate Thread Group 1-994,text,true,,398,380,26,26,http://localhost:8085/tasks/create,79,0,0
1603294898664,0,Debug Sampler,200,OK,Spike - jp@gc - Ultimate Thread Group 1-994,text,true,,400,0,26,26,null,0,0,0
1603294898664,24,Update_Users,202,,Spike - jp@gc - Ultimate Thread Group 1-994,text,true,,388,356,26,26,http://localhost:8085/users/update/16555,24,0,0
1603294898688,6,Update_Tasks,202,,Spike - jp@gc - Ultimate Thread Group 1-994,text,true,,399,388,26,26,http://localhost:8085/tasks/update/16203,6,0,0
1603294898694,0,Debug Sampler,200,OK,Spike - jp@gc - Ultimate Thread Group 1-994,text,true,,400,0,26,26,null,0,0,0
1603294898694,8,Delete_Users,204,,Spike - jp@gc - Ultimate Thread Group 1-994,,false,Response was null,191,235,26,26,http://localhost:8085/users/delete/16555,0,0,0
1603294898702,6,Delete_Tasks,204,,Spike - jp@gc - Ultimate Thread Group 1-994,,false,Response was null,191,235,27,27,http://localhost:8085/tasks/delete/16203,0,0,0
1603294898495,215,Get_Tasks,200,,Spike - jp@gc - Ultimate Thread Group 1-997,text,true,,114846,205,27,27,http://localhost:8085/tasks/read,186,0,0
1603294898710,4,Post_Users,201,,Spike - jp@gc - Ultimate Thread Group 1-997,text,true,,392,354,27,27,http://localhost:8085/users/create,4,0,0
1603294898715,4,Post_Tasks,201,,Spike - jp@gc - Ultimate Thread Group 1-997,text,true,,398,380,27,27,http://localhost:8085/tasks/create,4,0,0
1603294898719,0,Debug Sampler,200,OK,Spike - jp@gc - Ultimate Thread Group 1-997,text,true,,400,0,27,27,null,0,0,0
1603294898719,6,Update_Users,202,,Spike - jp@gc - Ultimate Thread Group 1-997,text,true,,388,356,27,27,http://localhost:8085/users/update/16557,6,0,0
1603294898726,6,Update_Tasks,202,,Spike - jp@gc - Ultimate Thread Group 1-997,text,true,,399,388,27,27,http://localhost:8085/tasks/update/16204,6,0,0
1603294898732,0,Debug Sampler,200,OK,Spike - jp@gc - Ultimate Thread Group 1-997,text,true,,400,0,27,27,null,0,0,0
1603294898577,160,Post_Users,201,,Spike - jp@gc - Ultimate Thread Group 1-995,text,true,,392,354,27,27,http://localhost:8085/users/create,160,0,0
1603294898732,8,Delete_Users,204,,Spike - jp@gc - Ultimate Thread Group 1-997,,false,Response was null,191,235,27,27,http://localhost:8085/users/delete/16557,0,0,0
1603294898737,4,Post_Tasks,201,,Spike - jp@gc - Ultimate Thread Group 1-995,text,true,,398,380,27,27,http://localhost:8085/tasks/create,4,0,0
1603294898741,0,Debug Sampler,200,OK,Spike - jp@gc - Ultimate Thread Group 1-995,text,true,,400,0,27,27,null,0,0,0
1603294898741,6,Update_Users,202,,Spike - jp@gc - Ultimate Thread Group 1-995,text,true,,388,356,27,27,http://localhost:8085/users/update/16556,6,0,0
1603294898740,9,Delete_Tasks,204,,Spike - jp@gc - Ultimate Thread Group 1-997,,false,Response was null,191,235,27,27,http://localhost:8085/tasks/delete/16204,0,0,0
1603294898747,6,Update_Tasks,202,,Spike - jp@gc - Ultimate Thread Group 1-995,text,true,,399,388,27,27,http://localhost:8085/tasks/update/16205,6,0,0
1603294898753,0,Debug Sampler,200,OK,Spike - jp@gc - Ultimate Thread Group 1-995,text,true,,400,0,27,27,null,0,0,0
1603294898753,7,Delete_Users,204,,Spike - jp@gc - Ultimate Thread Group 1-995,,false,Response was null,191,235,28,28,http://localhost:8085/users/delete/16556,0,0,0
1603294898760,8,Delete_Tasks,204,,Spike - jp@gc - Ultimate Thread Group 1-995,,false,Response was null,191,235,28,28,http://localhost:8085/tasks/delete/16205,0,0,0
1603294898550,250,Get_Tasks,200,,Spike - jp@gc - Ultimate Thread Group 1-998,text,true,,114846,205,28,28,http://localhost:8085/tasks/read,195,0,0
1603294898800,5,Post_Users,201,,Spike - jp@gc - Ultimate Thread Group 1-998,text,true,,392,354,28,28,http://localhost:8085/users/create,5,0,0
1603294898656,160,Get_Tasks,200,,Spike - jp@gc - Ultimate Thread Group 1-996,text,true,,114983,205,29,29,http://localhost:8085/tasks/read,154,0,0
1603294898817,19,Post_Users,201,,Spike - jp@gc - Ultimate Thread Group 1-996,text,true,,392,354,29,29,http://localhost:8085/users/create,19,0,0
1603294898805,34,Post_Tasks,201,,Spike - jp@gc - Ultimate Thread Group 1-998,text,true,,398,380,29,29,http://localhost:8085/tasks/create,34,0,0
1603294898839,0,Debug Sampler,200,OK,Spike - jp@gc - Ultimate Thread Group 1-998,text,true,,400,0,29,29,null,0,0,0
1603294898836,6,Post_Tasks,201,,Spike - jp@gc - Ultimate Thread Group 1-996,text,true,,398,380,29,29,http://localhost:8085/tasks/create,6,0,0
1603294898842,0,Debug Sampler,200,OK,Spike - jp@gc - Ultimate Thread Group 1-996,text,true,,400,0,29,29,null,0,0,0
1603294898839,8,Update_Users,202,,Spike - jp@gc - Ultimate Thread Group 1-998,text,true,,388,356,29,29,http://localhost:8085/users/update/16558,8,0,0
1603294898842,10,Update_Users,202,,Spike - jp@gc - Ultimate Thread Group 1-996,text,true,,388,356,29,29,http://localhost:8085/users/update/16559,10,0,0
1603294898847,10,Update_Tasks,202,,Spike - jp@gc - Ultimate Thread Group 1-998,text,true,,399,388,30,30,http://localhost:8085/tasks/update/16206,10,0,0
1603294898857,0,Debug Sampler,200,OK,Spike - jp@gc - Ultimate Thread Group 1-998,text,true,,400,0,30,30,null,0,0,0
